Clinic,Provider,MeasureName,MeasureDate,LowerIsBetter,Numerator,Denominator,MeasureValue,Benchmark
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-07-28,0,2307,2480,0.9302,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-08-04,0,2393,2541,0.9418,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-08-11,0,2454,2529,0.9703,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-08-18,0,2433,2473,0.9838,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-08-25,0,2429,2474,0.9818,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-09-01,0,2421,2457,0.9853,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-09-08,0,2394,2474,0.9677,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-09-15,0,2361,2485,0.9501,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-09-22,0,2392,2497,0.9579,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-09-29,0,2445,2539,0.963,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-10-06,0,2441,2529,0.9652,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-10-13,0,2457,2528,0.9719,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-10-20,0,2411,2523,0.9556,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-10-27,0,2382,2501,0.9524,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-11-03,0,2372,2511,0.9446,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-11-10,0,2384,2485,0.9594,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-11-17,0,2407,2467,0.9757,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-11-24,0,2401,2482,0.9674,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-12-01,0,2395,2514,0.9527,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-12-08,0,2393,2492,0.9603,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-12-15,0,2419,2536,0.9539,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-12-22,0,2373,2529,0.9383,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2024-12-29,0,2346,2542,0.9229,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-01-05,0,2307,2549,0.9051,0.95
